game_id,game_date,attendance,game_time
0024700020,1947-11-22 00:00:00,,
0024700021,1947-11-22 00:00:00,,
0024700022,1947-11-22 00:00:00,,
0024700024,1947-11-25 00:00:00,,
0024700025,1947-11-26 00:00:00,,
0024700026,1947-11-26 00:00:00,,
0024700028,1947-11-27 00:00:00,,
0024700027,1947-11-27 00:00:00,,
0024700030,1947-11-28 00:00:00,,
0024700029,1947-11-28 00:00:00,,
0024700032,1947-11-29 00:00:00,,
0024700031,1947-11-29 00:00:00,,
0024700033,1947-12-01 00:00:00,,
0024700035,1947-12-02 00:00:00,,
0024700034,1947-12-02 00:00:00,,
0024700036,1947-12-03 00:00:00,,
0024700037,1947-12-03 00:00:00,,
0024700038,1947-12-04 00:00:00,,
0024700039,1947-12-05 00:00:00,,
0024700041,1947-12-06 00:00:00,,
0024700040,1947-12-06 00:00:00,,
0024700042,1947-12-08 00:00:00,,
0024700043,1947-12-09 00:00:00,,
0024700046,1947-12-11 00:00:00,,
0024700045,1947-12-11 00:00:00,,
0024700048,1947-12-12 00:00:00,,
0024700049,1947-12-13 00:00:00,,
0024700050,1947-12-13 00:00:00,,
0024700051,1947-12-15 00:00:00,,
0024700052,1947-12-17 00:00:00,,
0024700055,1947-12-18 00:00:00,,
0024700054,1947-12-18 00:00:00,,
0024700056,1947-12-18 00:00:00,,
0024700057,1947-12-19 00:00:00,,
0024700059,1947-12-20 00:00:00,,
0024700060,1947-12-20 00:00:00,,
0024700061,1947-12-21 00:00:00,,
0024700062,1947-12-23 00:00:00,,
0024700063,1947-12-23 00:00:00,,
0024700064,1947-12-25 00:00:00,,
0024700065,1947-12-25 00:00:00,,
0024700066,1947-12-25 00:00:00,,
0024700067,1947-12-26 00:00:00,,
0024700069,1947-12-27 00:00:00,,
0024700070,1947-12-27 00:00:00,,
0024700068,1947-12-27 00:00:00,,
0024700071,1947-12-28 00:00:00,,
0024700073,1947-12-30 00:00:00,,
0024700072,1947-12-30 00:00:00,,
0024700075,1948-01-01 00:00:00,,
0024700074,1948-01-01 00:00:00,,
0024700076,1948-01-02 00:00:00,,
0024700078,1948-01-03 00:00:00,,
0024700079,1948-01-03 00:00:00,,
0024700080,1948-01-04 00:00:00,,
0024700081,1948-01-06 00:00:00,,
0024700082,1948-01-07 00:00:00,,
0024700083,1948-01-08 00:00:00,,
0024700088,1948-01-11 00:00:00,,
0024700090,1948-01-11 00:00:00,,
0024700089,1948-01-11 00:00:00,,
0024700091,1948-01-14 00:00:00,,
0024700093,1948-01-15 00:00:00,,
0024700092,1948-01-15 00:00:00,,
0024700095,1948-01-16 00:00:00,,
0024700094,1948-01-16 00:00:00,,
0024700097,1948-01-17 00:00:00,,
0024700096,1948-01-17 00:00:00,,
0024700098,1948-01-18 00:00:00,,
0024700099,1948-01-18 00:00:00,,
0024700100,1948-01-19 00:00:00,,
0024700101,1948-01-20 00:00:00,,
0024700102,1948-01-21 00:00:00,,
0024700105,1948-01-22 00:00:00,,
0024700103,1948-01-22 00:00:00,,
0024700104,1948-01-22 00:00:00,,
0024700107,1948-01-24 00:00:00,,
0024700109,1948-01-25 00:00:00,,
0024700110,1948-01-27 00:00:00,,
0024700111,1948-01-27 00:00:00,,
0024700112,1948-01-27 00:00:00,,
0024700113,1948-01-28 00:00:00,,
0024700115,1948-01-29 00:00:00,,
0024700114,1948-01-29 00:00:00,,
0024700117,1948-01-30 00:00:00,,
0024700121,1948-01-31 00:00:00,,
0024700120,1948-01-31 00:00:00,,
0024700118,1948-01-31 00:00:00,,
0024700119,1948-01-31 00:00:00,,
0024700122,1948-02-01 00:00:00,,
0024700123,1948-02-03 00:00:00,,
0024700125,1948-02-04 00:00:00,,
0024700124,1948-02-04 00:00:00,,
0024700127,1948-02-05 00:00:00,,
0024700126,1948-02-05 00:00:00,,
0024700128,1948-02-05 00:00:00,,
0024700129,1948-02-06 00:00:00,,
0024700130,1948-02-07 00:00:00,,
0024700131,1948-02-07 00:00:00,,
0024700133,1948-02-08 00:00:00,,
0024700134,1948-02-10 00:00:00,,
0024700135,1948-02-11 00:00:00,,
0024700136,1948-02-11 00:00:00,,
0024700138,1948-02-12 00:00:00,,
0024700137,1948-02-12 00:00:00,,
0024700139,1948-02-12 00:00:00,,
0024700140,1948-02-13 00:00:00,,
0024700142,1948-02-14 00:00:00,,
0024700141,1948-02-14 00:00:00,,
0024700143,1948-02-15 00:00:00,,
0024700145,1948-02-18 00:00:00,,
0024700147,1948-02-19 00:00:00,,
0024700149,1948-02-19 00:00:00,,
0024700148,1948-02-19 00:00:00,,
0024700146,1948-02-19 00:00:00,,
0024700151,1948-02-21 00:00:00,,
0024700153,1948-02-22 00:00:00,,
0024700155,1948-02-25 00:00:00,,
0024700158,1948-02-26 00:00:00,,
0024700156,1948-02-26 00:00:00,,
0024700157,1948-02-26 00:00:00,,
0024700159,1948-02-27 00:00:00,,
0024700162,1948-02-28 00:00:00,,
0024700161,1948-02-28 00:00:00,,
0024700163,1948-02-29 00:00:00,,
0024700164,1948-02-29 00:00:00,,
0024700165,1948-03-02 00:00:00,,
0024700166,1948-03-04 00:00:00,,
0024700167,1948-03-04 00:00:00,,
0024700168,1948-03-05 00:00:00,,
0024700170,1948-03-06 00:00:00,,
0024700169,1948-03-06 00:00:00,,
0024700172,1948-03-09 00:00:00,,
0024700173,1948-03-09 00:00:00,,
0024700175,1948-03-10 00:00:00,,
0024700174,1948-03-10 00:00:00,,
0024700176,1948-03-11 00:00:00,,
0024700177,1948-03-11 00:00:00,,
0024700180,1948-03-13 00:00:00,,
0024700179,1948-03-13 00:00:00,,
0024700178,1948-03-13 00:00:00,,
0024700181,1948-03-13 00:00:00,,
0024700183,1948-03-16 00:00:00,,
0024700182,1948-03-16 00:00:00,,
0024700184,1948-03-17 00:00:00,,
0024700186,1948-03-18 00:00:00,,
0024700187,1948-03-18 00:00:00,,
0024700188,1948-03-18 00:00:00,,
0024700189,1948-03-20 00:00:00,,
0024700190,1948-03-20 00:00:00,,
0024700191,1948-03-20 00:00:00,,
0024700192,1948-03-21 00:00:00,,
0024700193,1948-03-23 00:00:00,,
0044700211,1948-03-23 00:00:00,,
0044700213,1948-03-27 00:00:00,,
0044701021,1948-03-28 00:00:00,,
0044701022,1948-03-31 00:00:00,,
0044700215,1948-04-01 00:00:00,,
0044701013,1948-04-01 00:00:00,,
0044701023,1948-04-02 00:00:00,,
0044700216,1948-04-03 00:00:00,,
0044700217,1948-04-06 00:00:00,,
0044700221,1948-04-07 00:00:00,,
0044700222,1948-04-08 00:00:00,,
0044700411,1948-04-10 00:00:00,,
0044700412,1948-04-13 00:00:00,,
0044700414,1948-04-17 00:00:00,,
0044700415,1948-04-20 00:00:00,,
0044700416,1948-04-21 00:00:00,,
0024800001,1948-11-01 00:00:00,,
0024800003,1948-11-03 00:00:00,,
0024800002,1948-11-03 00:00:00,,
0024800006,1948-11-04 00:00:00,,
0024800004,1948-11-04 00:00:00,,
0024800005,1948-11-04 00:00:00,,
0024800007,1948-11-05 00:00:00,,
0024800012,1948-11-06 00:00:00,,
0024800013,1948-11-06 00:00:00,,
0024800009,1948-11-06 00:00:00,,
0024800014,1948-11-07 00:00:00,,
0024800015,1948-11-07 00:00:00,,
0024800016,1948-11-09 00:00:00,,
0024800017,1948-11-09 00:00:00,,
0024800020,1948-11-09 00:00:00,,
0024800021,1948-11-10 00:00:00,,
0024800023,1948-11-11 00:00:00,,
