game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0029600321,00,1610612757,POR,Portland,42,11,12,5,12,8,1.0,12.0,11.0,,1610612745,HOU,Houston,38,0,14,12,2.0,19.0,11.0,
0029600320,00,1610612764,WAS,Washington,48,5,12,17,14,8,0.0,18.0,7.0,,1610612744,GSW,Golden State,38,17,4,10,0.0,24.0,15.0,
0029600325,00,1610612758,SAC,Sacramento,46,9,10,2,15,9,3.0,18.0,8.0,,1610612764,WAS,Washington,54,21,16,14,0.0,21.0,9.0,
0029600322,00,1610612749,MIL,Milwaukee,50,27,11,16,2,3,0.0,19.0,8.0,,1610612738,BOS,Boston,48,15,16,2,1.0,12.0,9.0,
0029600324,00,1610612746,LAC,Los Angeles,58,13,14,9,17,5,1.0,12.0,6.0,,1610612756,PHX,Phoenix,56,24,8,7,0.0,11.0,12.0,
0029600329,00,1610612748,MIA,Miami,42,17,7,2,8,3,1.0,20.0,8.0,,1610612754,IND,Indiana,48,17,12,17,1.0,18.0,3.0,
0029600331,00,1610612737,ATL,Atlanta,26,13,14,38,2,5,0.0,15.0,9.0,,1610612742,DAL,Dallas,28,14,21,3,1.0,17.0,7.0,
0029600330,00,1610612741,CHI,Chicago,40,20,5,6,1,9,0.0,12.0,6.0,,1610612747,LAL,Los Angeles,58,12,17,22,0.0,15.0,15.0,
0029600328,00,1610612755,PHI,Philadelphia,56,24,8,10,10,7,1.0,17.0,12.0,,1610612766,CHH,Charlotte,44,14,15,0,0.0,11.0,9.0,
0029600326,00,1610612762,UTA,Utah,32,14,4,6,6,14,2.0,18.0,11.0,,1610612752,NYK,New York,30,6,14,10,0.0,17.0,4.0,
0029600327,00,1610612751,NJN,New Jersey,50,21,14,2,3,0,1.0,11.0,10.0,,1610612761,TOR,Toronto,38,10,8,18,0.0,22.0,16.0,
0029600338,00,1610612758,SAC,Sacramento,30,16,6,5,1,0,0.0,12.0,8.0,,1610612743,DEN,Denver,22,11,9,16,2.0,11.0,11.0,
0029600336,00,1610612752,NYK,New York,34,11,13,4,6,2,0.0,23.0,3.0,,1610612765,DET,Detroit,24,13,6,39,0.0,7.0,8.0,
0029600337,00,1610612747,LAL,Los Angeles,56,8,19,8,7,6,0.0,17.0,8.0,,1610612749,MIL,Milwaukee,48,16,18,13,0.0,18.0,9.0,
0029600340,00,1610612744,GSW,Golden State,52,16,16,29,1,2,1.0,16.0,12.0,,1610612750,MIN,Minnesota,30,16,4,6,1.0,13.0,9.0,
0029600334,00,1610612753,ORL,Orlando,36,12,7,11,18,11,2.0,19.0,5.0,,1610612754,IND,Indiana,38,16,19,9,1.0,16.0,9.0,
0029600335,00,1610612751,NJN,New Jersey,28,16,9,11,7,7,1.0,19.0,13.0,,1610612739,CLE,Cleveland,38,11,10,25,3.0,15.0,4.0,
0029600346,00,1610612746,LAC,Los Angeles,42,6,14,2,3,3,0.0,21.0,4.0,,1610612764,WAS,Washington,62,4,8,17,1.0,23.0,6.0,
0029600342,00,1610612748,MIA,Miami,48,12,12,12,10,11,1.0,18.0,12.0,,1610612762,UTA,Utah,36,8,6,7,1.0,21.0,8.0,
